t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
4.24,-0.02748,-0.02901,-0.0001,0.0645
4.25,-0.02725,-0.02898,0.0001,0.0694
4.26,-0.02701,-0.02903,0.001,0.075
4.27,-0.02678,-0.02898,0.0008,0.0736
4.28,-0.02656,-0.02895,0.0011,0.0809
4.29,-0.02633,-0.02895,0.0059,0.059
4.3,-0.02611,-0.02892,0.0042,0.0743
4.31,-0.02588,-0.02884,0.0051,0.0879
4.32,-0.02566,-0.02878,0.0104,0.0613
4.33,-0.02544,-0.0288,0.0072,0.0877
4.34,-0.02522,-0.02867,0.0122,0.0726
4.35,-0.025,-0.02865,0.0152,0.0715
4.36,-0.02478,-0.02836,0.0158,0.0917
4.37,-0.02456,-0.02836,0.0176,0.0862
4.38,-0.02435,-0.02818,0.0169,0.0852
4.39,-0.02413,-0.02796,0.0233,0.0766
4.4,-0.02391,-0.02787,0.0209,0.0772
4.41,-0.0237,-0.02758,0.0295,0.0715
4.42,-0.02349,-0.02748,0.0232,0.0811
4.43,-0.02328,-0.02729,0.0292,0.08
4.44,-0.02308,-0.02703,0.0332,0.0817
4.45,-0.02287,-0.02677,0.0336,0.0894
4.46,-0.02266,-0.02656,0.0331,0.1145
4.47,-0.02245,-0.02641,0.0363,0.0821
4.48,-0.02225,-0.02597,0.0327,0.1039
4.49,-0.02205,-0.02572,0.0362,0.0814
4.5,-0.02185,-0.02546,0.038,0.0863
4.51,-0.02165,-0.02505,0.0385,0.1094
4.52,-0.02145,-0.02459,0.0418,0.0746
4.53,-0.02126,-0.0242,0.0411,0.1037
4.54,-0.02107,-0.02378,0.0413,0.0677
4.55,-0.02088,-0.02336,0.0425,0.0843
4.56,-0.0207,-0.02282,0.0445,0.0824
4.57,-0.02051,-0.02249,0.0477,0.045
4.58,-0.02033,-0.02205,0.0424,0.1017
4.59,-0.02015,-0.02145,0.0442,0.0515
4.6,-0.01998,-0.02059,0.0445,0.0745
4.61,-0.01982,-0.02054,0.043,0.0663
4.62,-0.01968,-0.02009,0.0435,0.0545
4.63,-0.01954,-0.01953,0.0407,0.0574
4.64,-0.0194,-0.01924,0.0417,0.0504
4.65,-0.01926,-0.0187,0.0427,0.0461
