t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
4.75,-0.01866,-0.02328,0.1898,0.0778
4.76,-0.01867,-0.02158,0.1966,0.082
4.77,-0.01868,-0.01963,0.2021,0.0997
4.78,-0.01869,-0.01701,0.2101,0.1772
4.79,-0.0208,-0.01392,0.2064,0.1722
4.8,-0.02429,-0.0113,0.1941,0.0757
4.81,-0.02437,-0.00935,0.1838,0.0289
4.82,-0.02446,-0.0076,0.1792,0.0315
4.83,-0.02454,-0.0063,0.1777,0.0376
4.84,-0.02462,-0.00512,0.175,0.0377
4.85,-0.02471,-0.00393,0.1698,0.0371
4.86,-0.02479,-0.00273,0.1657,0.0341
4.87,-0.02492,-0.00143,0.1634,0.031
4.88,-0.02509,0.0012,0.1608,0.0232
4.89,-0.02528,0.00248,0.1632,0.0431
4.9,-0.02547,0.0047,0.1606,0.0434
4.91,-0.02565,0.00678,0.1551,0.0588
4.92,-0.02584,0.00869,0.1469,0.0282
4.93,-0.02603,0.01041,0.1334,0.0089
4.94,-0.02625,0.01178,0.127,-0.0023
4.95,-0.02649,0.01281,0.1223,-0.0037
4.96,-0.02672,0.01376,0.1113,-0.0126
4.97,-0.02696,0.0145,0.1036,-0.0016
4.98,-0.0272,0.01517,0.0949,0.0022
4.99,-0.02744,0.01575,0.0853,0.0036
5,-0.02768,0.01625,0.078,0.0002
5.01,-0.02793,0.0178,0.0462,-0.0089
5.02,-0.02819,0.01822,0.038,-0.0085
5.03,-0.02845,0.01841,0.0334,-0.0075
5.04,-0.02871,0.01883,0.0214,-0.0273
5.05,-0.02896,0.01897,0.0155,-0.0251
5.06,-0.02922,0.01898,0.0063,-0.0034
5.07,-0.02948,0.01906,0.0017,-0.0256
5.08,-0.02975,0.019,-0.0024,-0.0359
5.09,-0.03001,0.01902,0.0019,-0.0472
5.1,-0.03028,0.01895,-0.0015,-0.051
5.11,-0.03054,0.01901,-0.0001,-0.0422
5.12,-0.03081,0.01899,0.0017,-0.0482
5.13,-0.03107,0.01906,-0.0021,-0.0548
5.14,-0.03134,0.01895,0.0018,-0.0544
5.15,-0.03161,0.01894,-0.0012,-0.0561
5.16,-0.03188,0.01895,-0.0007,-0.0542
5.17,-0.03215,0.01894,-0.0007,-0.0524
5.18,-0.03241,0.01898,-0.0001,-0.0571
5.19,-0.03268,0.01904,-0.0023,-0.063
5.2,-0.03295,0.01894,-0.0023,-0.0581
5.21,-0.03322,0.01893,-0.0008,-0.0717
5.22,-0.03349,0.01896,0.0012,-0.0731
5.23,-0.03376,0.01896,0.0016,-0.0811
5.24,-0.03402,0.01905,0.0009,-0.0671
